FileName,ClassName,Category,Type,HasExampleMethod,FilePath
ForfeitureAdjustmentUpdateRequest.cs,ForfeitureAdjustmentUpdateRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ForfeitureAdjustmentUpdateRequest.cs
FrozenProfitYearRequest.cs,FrozenProfitYearRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/FrozenProfitYearRequest.cs
FrozenReportsByAgeRequest.cs,FrozenReportsByAgeRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/FrozenReportsByAgeRequest.cs
GetAnnuityRatesRequest.cs,GetAnnuityRatesRequest,ItOperations,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ItOperations/GetAnnuityRatesRequest.cs
GetMilitaryContributionRequest.cs,GetMilitaryContributionRequest,Military,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Military/GetMilitaryContributionRequest.cs
GetNavigationStatusRequestDto.cs,GetNavigationStatusRequestDto,Navigations,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Navigations/GetNavigationStatusRequestDto.cs
GetProfitSharingAdjustmentsRequest.cs,GetProfitSharingAdjustmentsRequest,ProfitDetails,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/ProfitDetails/GetProfitSharingAdjustmentsRequest.cs
GrossWagesReportRequest.cs,GrossWagesReportRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/GrossWagesReportRequest.cs
IdRequest.cs,IdRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/IdRequest.cs
IdsRequest.cs,IdsRequest,Root,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/IdsRequest.cs
IMemberRequest.cs,IMemberRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/IMemberRequest.cs
IStartEndDateRequest.cs,IStartEndDateRequest,Root,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/IStartEndDateRequest.cs
MasterInquiryMemberDetailsRequest.cs,MasterInquiryMemberDetailsRequest,MasterInquiry,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/MasterInquiry/MasterInquiryMemberDetailsRequest.cs
MasterInquiryMemberRequest.cs,MasterInquiryMemberRequest,MasterInquiry,Request,FALSE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/MasterInquiry/MasterInquiryMemberRequest.cs
MasterInquiryRequest.cs,MasterInquiryRequest,MasterInquiry,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/MasterInquiry/MasterInquiryRequest.cs
MergeProfitDetailsRequest.cs,MergeProfitDetailsRequest,Adjustments,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Adjustments/MergeProfitDetailsRequest.cs
NavigationRequestDto.cs,NavigationRequestDto,Navigations,Request,TRUE,src/services/src/Demoulas.ProfitSharing.Common/Contracts/Request/Navigations/NavigationRequestDto.cs
